registrikood,tegevusala,alguskuupaev,loppkuupaev,staatus,allikas
80416708,Jaekaubandus,30.10.2025,31.10.2025,Jah,MTR_2025-10-31.csv
17306499,Toitlustamine,29.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12829152,Toitlustamine,28.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17244676,Jaekaubandus,28.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17349310,Toitlustamine,27.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16216765,Jaekaubandus,27.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17327449,Toitlustamine,27.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16795970,Renditööjőu vahendamine,27.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17339582,Jaekaubandus,27.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17348687,Jaekaubandus,26.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11176618,Gaasi müük,26.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17348687,Toitlustamine,26.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10546639,Jaekaubandus,24.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16684101,Hulgikaubandus,23.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16452968,Toitlustamine,22.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17283539,Elektrienergia müük,22.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11159944,Renditööjőu vahendamine,22.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17308512,Töövahendus,21.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14614355,Hulgikaubandus,21.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14607148,Renditööjőu vahendamine,20.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17287974,Töövahendus,20.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17238177,Renditööjőu vahendamine,20.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16358945,Renditööjőu vahendamine,20.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17353441,Renditööjőu vahendamine,20.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14583593,Renditööjőu vahendamine,18.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17339091,Toitlustamine,17.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80593095,Jaekaubandus,16.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16333413,Hulgikaubandus,16.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17205947,Jaekaubandus,15.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12059576,Jaekaubandus,15.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16946392,Renditööjőu vahendamine,15.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14722719,Jaekaubandus,15.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17068982,Toitlustamine,15.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17347647,Toitlustamine,14.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12539388,Kaubandusliku loterii korraldamine,14.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12539388,Kaubandusliku loterii korraldamine,14.10.2025,05.12.2025,Jah,MTR_2025-10-31.csv
17332580,Hulgikaubandus,13.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12569490,Jaekaubandus,10.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17344465,Jaekaubandus,09.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16949232,Toitlustamine,09.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17329425,Toitlustamine,08.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16158750,Toitlustamine,08.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17216000,Toitlustamine,08.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16618110,Toitlustamine,07.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11696200,Jaekaubandus,07.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17337028,Toitlustamine,07.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17298185,Hulgikaubandus,07.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17212723,Toitlustamine,07.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12590308,Hulgikaubandus,05.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17324155,Jaekaubandus,05.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17225275,Jaekaubandus,04.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17225275,Hulgikaubandus,04.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17122658,Jaekaubandus,03.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17030991,Jaekaubandus,03.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16931806,Jaekaubandus,03.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14236752,Renditööjőu vahendamine,02.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17293383,Pornograafia ja vägivalla demonstreerimine,02.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14853924,Jaekaubandus,02.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10093971,Kaubandusliku loterii korraldamine,01.10.2025,31.12.2025,Jah,MTR_2025-10-31.csv
17309641,Jaekaubandus,01.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16109414,Jaekaubandus,01.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14942823,Renditööjőu vahendamine,01.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11206785,Toitlustamine,01.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17253627,Jaekaubandus,01.10.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17222992,Toitlustamine,30.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12612790,Jaekaubandus,29.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16602830,Jaekaubandus,27.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16958136,Toitlustamine,27.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12276115,Jaekaubandus,27.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17084121,Renditööjőu vahendamine,25.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16576050,Toitlustamine,24.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16802888,Toitlustamine,23.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17306631,Toitlustamine,22.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16805616,Renditööjőu vahendamine,22.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17318545,Toitlustamine,19.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16022096,Jaekaubandus,19.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14165153,Renditööjőu vahendamine,18.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14210250,Toitlustamine,17.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16664110,Renditööjőu vahendamine,17.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17243408,Toitlustamine,16.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16517644,Töövahendus,16.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17304610,Toitlustamine,15.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16570202,Toitlustamine,15.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16620035,Toitlustamine,15.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10184643,Kaubandusliku loterii korraldamine,15.09.2025,26.12.2025,Jah,MTR_2025-10-31.csv
16586735,Toitlustamine,14.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16773336,Toitlustamine,12.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17280664,Töövahendus,12.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17313909,Toitlustamine,11.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16735407,Toitlustamine,11.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11634831,Jaekaubandus,10.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
77001961,Toitlustamine,10.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17098517,Toitlustamine,10.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14761926,Renditööjőu vahendamine,10.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17236244,Hulgikaubandus,09.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16953185,Toitlustamine,09.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17136821,Toitlustamine,09.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17298328,Toitlustamine,09.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16570202,Jaekaubandus,09.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12273499,Jaekaubandus,09.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17166437,Toitlustamine,09.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16624688,Jaekaubandus,08.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12777857,Hulgikaubandus,08.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17113429,Renditööjőu vahendamine,08.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17103626,Renditööjőu vahendamine,08.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17297553,Toitlustamine,08.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17046302,Hulgikaubandus,07.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
90015301,Jaekaubandus,06.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10702051,Renditööjőu vahendamine,05.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16514043,Renditööjőu vahendamine,04.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17250959,Renditööjőu vahendamine,03.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17266328,Elektrienergia müük,03.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17318479,Renditööjőu vahendamine,03.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17239900,Toitlustamine,03.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12792489,Töövahendus,02.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17307317,Toitlustamine,02.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10093971,Kaubandusliku loterii korraldamine,01.09.2025,30.11.2025,Jah,MTR_2025-10-31.csv
16977323,Renditööjőu vahendamine,01.09.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10666674,Kaubandusliku loterii korraldamine,01.09.2025,30.11.2025,Jah,MTR_2025-10-31.csv
16635835,Jaekaubandus,31.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16051531,Toitlustamine,31.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17283947,Toitlustamine,29.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17308104,Hulgikaubandus,29.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17096553,Jaekaubandus,28.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17272642,Renditööjőu vahendamine,28.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17272642,Töövahendus,28.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17017660,Jaekaubandus,28.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17283947,Jaekaubandus,26.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17225720,Jaekaubandus,26.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14687986,Elektrienergia müük,26.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17307926,Toitlustamine,25.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16805220,Renditööjőu vahendamine,25.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17205947,Toitlustamine,21.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16580152,Toitlustamine,21.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16771337,Toitlustamine,21.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12860707,Toitlustamine,20.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16122679,Toitlustamine,20.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14403188,Toitlustamine,20.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12816043,Jaekaubandus,18.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16101921,Renditööjőu vahendamine,18.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16101921,Töövahendus,18.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17091656,Jaekaubandus,15.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17271631,Hulgikaubandus,13.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16805220,Hulgikaubandus,13.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17253389,Toitlustamine,12.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17295749,Toitlustamine,12.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17299888,Hulgikaubandus,12.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17137921,Jaekaubandus,12.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17036445,Jaekaubandus,10.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16757580,Jaekaubandus,10.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16757580,Toitlustamine,10.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17174098,Toitlustamine,08.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17297783,Toitlustamine,08.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12724884,Hulgikaubandus,07.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14978382,Toitlustamine,06.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
90009938,Toitlustamine,06.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17259624,Hulgikaubandus,06.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17288465,Töövahendus,05.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16865073,Toitlustamine,05.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17005763,Toitlustamine,05.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
